TIMESTAMP,TARGETVAR,U10,V10,U100,V100
20120101 1:00,0.596272687,-0.171642057,-5.466030873,-0.112593646,-7.101346555
20120101 2:00,0.411180161,-0.088858696,-4.643205017,-0.014100407,-5.896778127
20120101 3:00,0.167242796,-0.246014274,-3.613395017,-0.225238213,-4.48936927
20120101 4:00,0.037326166,-0.680737589,-2.919614831,-0.772045505,-3.598823858
20120101 5:00,0.051206338,-1.261106495,-2.619785947,-1.48753662,-3.244666639
20120101 6:00,0.042144441,-1.950820269,-2.534607287,-2.344541009,-3.195312417
20120101 7:00,0.210377418,-3.062861987,-2.410672337,-3.798165363,-3.149754673
20120101 8:00,0.455914986,-4.959796209,-1.834864595,-6.60295846,-2.565639321
20120101 9:00,0.531133134,-5.789843273,-0.673027671,-8.742639167,-1.106164472
20120101 10:00,0.403347154,-4.353308488,-0.569535599,-8.276211415,-1.21734706
20120101 11:00,0.494151763,-3.247464454,-1.139806729,-7.302600088,-2.588960547
20120101 12:00,0.549645909,-2.662225938,-2.080605029,-6.380499592,-4.673769659
20120101 13:00,0.482897325,-2.230601465,-3.250108032,-5.220090743,-6.880066087
20120101 14:00,0.689358236,-2.264688731,-3.532049396,-5.003292407,-7.272188093
20120101 15:00,0.679261956,-2.188103056,-3.78290055,-4.522713327,-7.773865623
20120101 16:00,0.698782608,-1.968527939,-5.130852846,-3.785712194,-9.630343665
20120101 17:00,0.688120518,-0.799821674,-5.662793578,-1.648295699,-10.36631816
20120101 18:00,0.669103793,-0.008731486,-5.454531754,-0.170897115,-10.13364826
20120101 19:00,0.670765882,1.680137605,-4.842523082,2.698426035,-9.211646309
20120101 20:00,0.669819905,2.719577874,-4.032048131,5.255287875,-7.527636868
20120101 21:00,0.678422075,2.795720858,-3.851043478,4.799615132,-6.63763381
20120101 22:00,0.71294569,4.36949009,-2.88213622,6.25040922,-4.130330864
20120101 23:00,0.736135289,4.025518587,-1.955392399,5.385480087,-2.614451189
20120102 0:00,0.74944081,3.902892967,-0.675157138,5.03679138,-0.912544063
20120102 1:00,0.517385577,5.299337023,-3.441727813,6.944194502,-4.589758613
20120102 2:00,0.358196814,5.700652053,-0.33675994,7.344122516,-0.45577735
20120102 3:00,0.214541466,4.757359047,2.10086398,6.047982762,2.712965863
20120102 4:00,0.096356674,4.087284556,0.790281654,5.07665501,1.2584169
20120102 5:00,0.572234345,4.341045373,2.258184607,5.551699036,3.060944084
20120102 6:00,0.534377734,4.473600944,4.478435402,6.070258546,6.012334747
20120102 7:00,0.517332526,4.297265552,5.605476995,6.022080689,7.685306962
20120102 8:00,0.584496641,3.079132555,5.268844684,4.478835155,7.378015425
20120102 9:00,0.382659508,1.968422267,4.270789089,3.087893814,6.292858728
20120102 10:00,0.197611196,1.629128651,3.07100785,2.825246789,4.906299356
20120102 11:00,0.188390164,-0.293940547,1.399687634,0.319998249,3.051843115
20120102 12:00,0.246306722,-2.05729447,0.665101799,-3.290750784,1.519668241
20120102 13:00,0.17144221,-1.52626145,0.237122027,-2.918797009,0.762146422
20120102 14:00,0.106346864,-0.427306855,-0.091897995,-1.268316892,0.45699629
20120102 15:00,0.1237457,0.238308579,-0.709339169,-0.549275334,-0.541433528
20120102 16:00,0.103084581,0.565846504,-0.815065397,-0.166442689,-0.919926762
20120102 17:00,0.157031589,1.05066749,-0.684387779,1.293398168,-1.181713454
20120102 18:00,0.234875479,1.437389247,-0.956738543,2.898808678,-1.577337923
20120102 19:00,0.104746664,1.529407946,-0.866236891,2.360563592,-1.27165244
20120102 20:00,0.08009831,0.916085076,-0.671277726,1.306349205,-0.672594549
20120102 21:00,0.075890054,0.169395897,-0.401041487,0.135057445,-0.236283396
20120102 22:00,0.064326192,-0.838350735,-0.916985481,-1.386948388,-1.270581738
20120102 23:00,0.057058995,0.276818608,-1.149160278,0.38009106,-1.60464083
20120103 0:00,0.048527552,0.341677603,-0.720334696,0.526696795,-0.94830037
20120103 1:00,0.052744651,-2.410011473,1.599454937,-2.957886127,1.929539123
20120103 2:00,0.075341923,-2.014686413,2.049576724,-2.398713347,2.490367094
20120103 3:00,0.058314397,-1.294962259,2.946752281,-1.47506714,3.597264406
20120103 4:00,0.038404753,-0.314788654,3.603307721,-0.190709812,4.415001877
20120103 5:00,0.055202409,0.026276104,3.81938371,0.251361183,4.691589551
20120103 6:00,0.199379369,-0.77445093,4.437808093,-0.76446153,5.573281089
20120103 7:00,0.42656328,-1.277521448,5.884596815,-1.64860352,7.732960733
20120103 8:00,0.300801869,-0.017907285,6.26459252,0.167649867,8.606453031
20120103 9:00,0.228907888,0.091776041,5.133809453,0.368933256,7.125123789
20120103 10:00,0.216928501,0.080536407,5.128111709,0.375517292,7.385312985
20120103 11:00,0.412232237,0.465009406,6.078758404,0.971372559,8.9513677
20120103 12:00,0.626950512,1.145588628,6.625303553,1.969324317,9.755986388
20120103 13:00,0.694760008,1.753304015,6.750215636,2.713320396,9.895920073
20120103 14:00,0.688394587,1.657960912,6.51792299,2.473473367,9.583255746
20120103 15:00,0.671667653,1.173106353,6.577091872,1.801431396,9.646116581
20120103 16:00,0.672861171,0.707242899,6.541152255,1.09505838,9.672354147
20120103 17:00,0.632644036,0.492527131,6.615661216,0.783257242,9.688752625
