TIMESTAMP,TARGETVAR,U10,V10,U100,V100
20120101 1:00,0.0,1.90325425549531,-1.4950017409841,2.51672299053432,-2.07806299655864
20120101 2:00,0.0,2.17329623340358,-0.6436410336118039,2.83710904358824,-1.00691367375165
20120101 3:00,0.0,2.31274414002834,0.13659549260433101,3.0340955214376497,-0.0154904018067564
20120101 4:00,0.0,2.21756541010985,0.7971560014259599,2.9418288665828998,0.8235313715514259
20120101 5:00,0.0,1.9005981048929297,1.2856556169117201,2.5591769728294502,1.47110215202309
20120101 6:00,0.0,1.2985373016876,2.22432445085296,1.78538238886353,2.76732842114142
20120101 7:00,0.0,0.13957025551733,3.82568326011752,0.12288444218619501,5.80668072747578
20120101 8:00,0.0,-0.54438852459461,3.94195213110933,-1.0448830974785401,6.40760905642269
20120101 9:00,0.0,-0.624515734432967,2.72773033185049,-1.62225725669233,5.7649194627385
20120101 10:00,0.22470603437136602,-0.789639763547371,2.29204148560644,-2.62020886717654,5.6493980421015895
20120101 11:00,0.296033079209201,-1.9021241741760502,1.3086538551298799,-5.32764083141137,3.1019608931272
20120101 12:00,0.212301330921308,-2.12347005770742,0.121689227092559,-5.63217739774178,0.302871447554105
20120101 13:00,0.194211138389973,-1.96542909686602,-0.428139023641627,-5.3010363358397505,-0.959728868139397
20120101 14:00,0.0949735107895076,-1.8166846631329399,-0.943044023748236,-5.046312442068969,-2.1431454870583098
20120101 15:00,0.0,-1.6812209824117401,-1.2552238128947601,-4.770078530601981,-2.91708476991682
20120101 16:00,0.0,-1.41250707980465,-1.5111856863968798,-4.1428916988285795,-3.91393158273669
20120101 17:00,0.0,-0.829924714350081,-2.0835862820488997,-2.1300068849421,-5.96728415800113
20120101 18:00,0.0,-0.275674621987524,-2.87234067427176,-0.17146316839338002,-7.8091186391416505
20120101 19:00,0.0,0.33302655772375,-3.7249790615450697,1.2787648668083,-8.82440549093642
20120101 20:00,0.0,0.9302177514913921,-4.1410768159736495,2.44936267195938,-9.070634246660159
20120101 21:00,0.0,1.16971399747234,-4.37787349096064,2.6191786011399,-8.55322844718782
20120101 22:00,0.0,1.0568275968713399,-4.48093966964203,2.3989839463024905,-8.400826948601098
20120101 23:00,0.0,1.4401986671476699,-5.156406443975429,2.38483261887078,-7.857388152928901
